gen,best,avg
557,1219.3245697951054,348.54769509759456
558,1218.0630569993632,385.30709493981436
559,1165.8491916103067,339.18108781530356
560,1168.5034171780821,280.57681534773025
561,1220.5319405471496,357.70429578925643
562,1177.4712803798461,383.3758645939953
563,1164.2833562687167,314.4132737479182
564,1214.856306879297,405.6727119186195
565,1170.8466245585782,357.40122904207794
566,1209.7499179179576,339.6014950997707
567,1184.7172066099115,332.8697099428575
568,1212.328887469449,324.9908703156656
569,1243.3654194607036,426.51222417829666
570,1215.3084645292145,329.81070490998434
571,1273.5940493814096,309.9704334431891
572,1218.6711004435465,268.9509328258631
573,1245.1841789146351,314.1033656117762
574,1244.2651609674808,396.2724577662598
575,1247.5508535736471,340.8837670233
576,1245.6190414628281,277.07342191486936
577,1214.7390232108814,289.68440093073735
578,1273.4183930748131,397.86963225464774
579,1213.061420789465,332.3870006099389
580,1215.1221187426315,289.75956837465367
581,1214.0726490933919,308.6183682585214
582,1202.171546212783,428.1525350498803
583,1223.2178082360224,368.3486362051816
584,1162.8420355415994,374.65378460466036
585,1178.4591739470397,299.09623309951695
586,1171.6764745273022,363.02229759839963
587,1211.728497296712,218.56053090835607
588,1210.477145650841,359.17870621426846
589,1167.433229860394,396.18651193261104
590,1178.9055548760089,320.6276839431204
591,1201.2408410895791,319.81489081282615
592,1211.168417717073,343.972557027112
593,1170.0944879053347,289.7561764584147
594,1177.5302521408805,319.3982236336125
